session_id,sequence,repetition,runtime,workload,shuffle_seed
1,1,1,bun,allocated,20260811
1,2,1,node,allocated,20260811
1,3,1,deno,idle,20260811
1,4,1,bun,idle,20260811
1,5,1,deno,allocated,20260811
1,6,1,node,idle,20260811
1,7,2,deno,idle,20260812
1,8,2,node,allocated,20260812
1,9,2,bun,allocated,20260812
1,10,2,bun,idle,20260812
1,11,2,deno,allocated,20260812
1,12,2,node,idle,20260812
1,13,3,deno,allocated,20260813
1,14,3,deno,idle,20260813
1,15,3,node,idle,20260813
1,16,3,bun,allocated,20260813
1,17,3,bun,idle,20260813
1,18,3,node,allocated,20260813
1,19,4,deno,idle,20260814
1,20,4,bun,allocated,20260814
1,21,4,node,allocated,20260814
1,22,4,node,idle,20260814
1,23,4,bun,idle,20260814
1,24,4,deno,allocated,20260814
1,25,5,bun,idle,20260815
1,26,5,deno,idle,20260815
1,27,5,node,allocated,20260815
1,28,5,bun,allocated,20260815
1,29,5,deno,allocated,20260815
1,30,5,node,idle,20260815
1,31,6,node,idle,20260816
1,32,6,deno,allocated,20260816
1,33,6,node,allocated,20260816
1,34,6,bun,idle,20260816
1,35,6,bun,allocated,20260816
1,36,6,deno,idle,20260816
1,37,7,node,allocated,20260817
1,38,7,bun,allocated,20260817
1,39,7,deno,idle,20260817
1,40,7,bun,idle,20260817
1,41,7,node,idle,20260817
1,42,7,deno,allocated,20260817
1,43,8,node,allocated,20260818
1,44,8,deno,allocated,20260818
1,45,8,deno,idle,20260818
1,46,8,bun,allocated,20260818
1,47,8,node,idle,20260818
1,48,8,bun,idle,20260818
1,49,9,node,idle,20260819
1,50,9,bun,idle,20260819
1,51,9,deno,idle,20260819
1,52,9,node,allocated,20260819
1,53,9,deno,allocated,20260819
1,54,9,bun,allocated,20260819
1,55,10,node,idle,20260820
1,56,10,deno,allocated,20260820
1,57,10,bun,idle,20260820
1,58,10,node,allocated,20260820
1,59,10,deno,idle,20260820
1,60,10,bun,allocated,20260820
